Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_4	1	1	1	1	1	1	120780	120780	120780	120780	120780	120780	1	120780	120780	5574428	49.60	48.29	120780	-	120780	-	120780.0	2616.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	120780	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_40	1	1	1	0	0	0	6353	6353	6353	0	0	0	1	6353	6353	5574428	32.17	48.29	6353	-	6353	-	6353.0	7.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	6353	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_41	1	1	1	1	1	0	49554	49554	49554	49554	49554	0	1	49554	49554	5574428	52.16	48.29	49554	-	49554	-	49554.0	440.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	49554	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_6	1	1	1	1	1	1	59785	59785	59785	59785	59785	59785	1	59785	59785	5574428	53.87	48.29	59785	-	59785	-	59785.0	641.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	59785	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_7	1	1	1	1	1	1	80514	80514	80514	80514	80514	80514	1	80514	80514	5574428	36.34	48.29	80514	-	80514	-	80514.0	1162.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	80514	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_9	1	1	1	1	1	1	168911	168911	168911	168911	168911	168911	1	168911	168911	5574428	47.67	48.29	168911	-	168911	-	168911.0	5118.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	168911	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_10	1	1	1	1	1	0	32695	32695	32695	32695	32695	0	1	32695	32695	5574428	57.93	48.29	32695	-	32695	-	32695.0	191.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	32695	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_11	1	1	1	1	1	0	37124	37124	37124	37124	37124	0	1	37124	37124	5574428	52.18	48.29	37124	-	37124	-	37124.0	247.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	37124	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_12	1	1	1	1	1	1	75691	75691	75691	75691	75691	75691	1	75691	75691	5574428	53.27	48.29	75691	-	75691	-	75691.0	1027.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	75691	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_13	1	1	1	1	1	1	76577	76577	76577	76577	76577	76577	1	76577	76577	5574428	35.89	48.29	76577	-	76577	-	76577.0	1052.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	76577	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_14	1	1	1	1	1	1	77765	77765	77765	77765	77765	77765	1	77765	77765	5574428	43.03	48.29	77765	-	77765	-	77765.0	1084.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	77765	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_15	1	1	1	1	1	1	75366	75366	75366	75366	75366	75366	1	75366	75366	5574428	32.46	48.29	75366	-	75366	-	75366.0	1018.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	75366	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_16	1	1	1	1	1	1	136404	136404	136404	136404	136404	136404	1	136404	136404	5574428	43.11	48.29	136404	-	136404	-	136404.0	3337.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	136404	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_17	1	1	1	1	0	0	10220	10220	10220	10220	0	0	1	10220	10220	5574428	39.36	48.29	10220	-	10220	-	10220.0	18.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10220	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_18	1	1	1	0	0	0	9967	9967	9967	0	0	0	1	9967	9967	5574428	40.73	48.29	9967	-	9967	-	9967.0	17.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	9967	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_19	1	1	1	1	1	1	58089	58089	58089	58089	58089	58089	1	58089	58089	5574428	31.60	48.29	58089	-	58089	-	58089.0	605.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	58089	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_2	1	1	1	1	1	0	33238	33238	33238	33238	33238	0	1	33238	33238	5574428	54.30	48.29	33238	-	33238	-	33238.0	198.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	33238	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_20	1	1	1	1	0	0	18584	18584	18584	18584	0	0	1	18584	18584	5574428	33.61	48.29	18584	-	18584	-	18584.0	62.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	18584	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_21	1	1	1	1	1	0	29033	29033	29033	29033	29033	0	1	29033	29033	5574428	33.44	48.29	29033	-	29033	-	29033.0	151.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	29033	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_27	1	1	1	1	1	1	53921	53921	53921	53921	53921	53921	1	53921	53921	5574428	31.88	48.29	53921	-	53921	-	53921.0	521.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	53921	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_28	1	1	1	0	0	0	5304	5304	5304	0	0	0	1	5304	5304	5574428	34.43	48.29	5304	-	5304	-	5304.0	5.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5304	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_29	1	1	1	1	0	0	21293	21293	21293	21293	0	0	1	21293	21293	5574428	34.61	48.29	21293	-	21293	-	21293.0	81.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	21293	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_3	1	1	1	1	1	1	53826	53826	53826	53826	53826	53826	1	53826	53826	5574428	45.47	48.29	53826	-	53826	-	53826.0	519.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	53826	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_31	1	1	1	1	1	1	56209	56209	56209	56209	56209	56209	1	56209	56209	5574428	32.88	48.29	56209	-	56209	-	56209.0	566.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	56209	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_32	1	1	1	1	1	0	37846	37846	37846	37846	37846	0	1	37846	37846	5574428	66.62	48.29	37846	-	37846	-	37846.0	256.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	37846	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_33	1	1	1	1	1	0	32880	32880	32880	32880	32880	0	1	32880	32880	5574428	66.85	48.29	32880	-	32880	-	32880.0	193.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	32880	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_34	1	1	1	1	1	1	324232	324232	324232	324232	324232	324232	1	324232	324232	5574428	38.20	48.29	324232	-	324232	-	324232.0	18858.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	324232	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_35	1	1	1	1	0	0	15896	15896	15896	15896	0	0	1	15896	15896	5574428	36.00	48.29	15896	-	15896	-	15896.0	45.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	15896	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_36	1	1	1	1	0	0	12628	12628	12628	12628	0	0	1	12628	12628	5574428	35.69	48.29	12628	-	12628	-	12628.0	28.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	12628	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_37	1	1	1	1	0	0	12413	12413	12413	12413	0	0	1	12413	12413	5574428	37.39	48.29	12413	-	12413	-	12413.0	27.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	12413	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_38	1	1	1	1	1	0	38167	38167	38167	38167	38167	0	1	38167	38167	5574428	54.80	48.29	38167	-	38167	-	38167.0	261.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	38167	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_39	1	1	1	1	1	1	99320	99320	99320	99320	99320	99320	1	99320	99320	5574428	38.02	48.29	99320	-	99320	-	99320.0	1769.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	99320	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_4	1	1	1	1	1	1	119537	119537	119537	119537	119537	119537	1	119537	119537	5574428	48.67	48.29	119537	-	119537	-	119537.0	2563.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	119537	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_40	1	1	1	0	0	0	6357	6357	6357	0	0	0	1	6357	6357	5574428	32.58	48.29	6357	-	6357	-	6357.0	7.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	6357	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_41	1	1	1	1	1	0	49423	49423	49423	49423	49423	0	1	49423	49423	5574428	52.12	48.29	49423	-	49423	-	49423.0	438.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	49423	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_6	1	1	1	1	1	1	59277	59277	59277	59277	59277	59277	1	59277	59277	5574428	52.61	48.29	59277	-	59277	-	59277.0	630.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	59277	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_7	1	1	1	1	1	1	80117	80117	80117	80117	80117	80117	1	80117	80117	5574428	35.13	48.29	80117	-	80117	-	80117.0	1151.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	80117	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.medaka1x.contig_9	1	1	1	1	1	1	168579	168579	168579	168579	168579	168579	1	168579	168579	5574428	46.80	48.29	168579	-	168579	-	168579.0	5098.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	168579	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_1	1	1	1	1	1	1	1658662	1658662	1658662	1658662	1658662	1658662	1	1658662	1658662	5574428	66.00	48.29	1658662	-	1658662	-	1658662.0	493532.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	1658662	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_10	1	1	1	1	1	1	4035546	4035546	4035546	4035546	4035546	4035546	1	4035546	4035546	5574428	43.86	48.29	4035546	4035546	4035546	-	4035546.0	2921489.3	1	1	1	-	-	-	-	-	-	-	-	1 + 0 part	4035546	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_11	1	1	1	1	1	1	2476451	2476451	2476451	2476451	2476451	2476451	1	2476451	2476451	5574428	51.16	48.29	2476451	-	2476451	-	2476451.0	1100168.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	2476451	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_12	1	1	1	1	0	0	17901	17901	17901	17901	0	0	1	17901	17901	5574428	45.13	48.29	17901	-	17901	-	17901.0	57.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	17901	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_13	1	1	1	1	1	1	579656	579656	579656	579656	579656	579656	1	579656	579656	5574428	65.26	48.29	579656	-	579656	-	579656.0	60275.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	579656	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_14	1	1	1	1	1	1	504464	504464	504464	504464	504464	504464	1	504464	504464	5574428	66.41	48.29	504464	-	504464	-	504464.0	45652.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	504464	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_15	1	1	1	1	1	1	954610	954610	954610	954610	954610	954610	1	954610	954610	5574428	66.71	48.29	954610	-	954610	-	954610.0	163475.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	954610	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_16	1	1	1	0	0	0	5990	5990	5990	0	0	0	1	5990	5990	5574428	50.58	48.29	5990	-	5990	-	5990.0	6.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5990	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
